candidate_name,contribution_count,total_contribution
Aaron Michel Pilkington,1,500
Alan Clark,1,2000
Andrew Carl Thompson,1,2000
Andy Davis,1,500
Anthony Furman,1,1000
Asa Hutchinson,1,2700
Austin M McCollum,2,2000
Bart Hester,2,5600
Bill Sample,1,2000
Bob Ballinger,1,1500
Brian Stephen Evans,2,2500
Bruce Alan Cozart,1,1500
Bruce Wayne Coleman,1,500
Bryan B. King,1,1500
Cameron David Cooper,1,1000
Carlton Vann Wing,1,500
Carlton Wing,1,1000
Carol Dalby,1,1500
CECILE BLEDSOE,1,2700
charlene fite,1,1500
Charlene Fite,2,2800
charlene h fite,1,500
Charles J Blake,2,1000
DAN SULLIVAN,1,1650
Dave Wallace,1,2800
David Allen Ray,1,1000
David J Whitaker,1,1500
David Jeffrey Whitaker,1,2000
David Ray Wallace,2,4800
David Webster Hillman,1,1500
Eddie Cheatham,1,1000
Elizabeth Jane English,1,1000
Everett Clarke Tucker,1,1500
Frances Cavenaugh,1,1500
Fred Allen,2,3000
Fredrick J Love,1,1000
Harlan W Breaux,1,1000
Hiram Richelieu Hill,2,3000
HOWARD MONROE BEATY,1,500
james joseoh sorvillo,1,1000
James Marvin Sturch,2,3500
JAMES PAUL HENDREN,1,2700
Jamie Scott,1,1000
Jasen Warren Kelly,1,500
Jeff Wardlaw,1,1500
Jeffrey Wardlaw,1,1000
Jim Dotson,2,2000
Joe Allen Cloud,1,500
Joe E Jett,1,500
john daniel watson,1,1500
John Daniel Watson,1,1000
John Robert Cooper,1,2700
John Spencer Hawks,1,500
Jon Eubanks,2,3000
Jonathan Paul Dismang - Primary,1,2900
Julie Weidner Mayberry,1,1500
Justin Rory Gonzales,1,500
Karilyn Boggan Brown,1,500
Keith Brooks,1,1000
Kendon Reese Underwood,1,1000
Kim David Hammer,1,2700
Lance Eads,1,2700
Lanny Fite,1,1500
Laurie J Rushing,1,500
Lee Johnson,1,900
Les Eaves,2,2000
Les Warren,1,1500
Leslie Rutledge,1,2700
"Lewis Benjamin ""Ben"" Gilmore",1,1650
Lowell Blake Johnson,1,2000
Marcus Edward Richmond,1,500
Mark D. Lowery,2,2000
Mark Dale Lowery,1,1000
Mark H Berry,1,1000
Mark Hamilton Berry,2,3000
Mark Johnson,1,2000
MARK JOHNSON,1,500
Mathew Wade Pitsch,1,2000
Matthew Joseph Shepherd,1,2900
Megan Godfrey,1,2000
Michael John Gray,1,500
Milton Jimmy Hickey,3,7100
Monte Hodges,1,1000
Nicole LeFrancois Clowney,1,2000
"Phillip ""Justin"" Boyd",2,1000
Richard McGrew,1,1000
Rick Beck,1,1000
Rick C Beck,1,500
Roger D Lynch,1,1000
Sarah E Capp,1,1000
Spencer Hawks,2,2900
Stephen Meeks,1,500
Tim Griffin,1,2700
Trent Chancey Garner,2,5400
,17,51200
